Row,Status,Error,Preview
60,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A client representative issues a Stop Work Order on 50 weld joints because weldi...
61,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You discover that hydrotest water used on P91 creep-resistant piping had uncontr...
62,✅ Success,,The production supervisor tells you stopping the welder for missing preheat docu...
63,✅ Success,,"Without using a code book, explain the difference between a WPS, a PQR, and a WP..."
64,✅ Success,,You arrive at a P91 girth weld mid-root pass and notice the welder has no calibr...
65,✅ Success,,"Without looking at a code, explain what an 'essential variable' is in the contex..."
66,✅ Success,,You find an RT film with a 6 mm linear indication at the fusion line called 'sla...
67,✅ Success,,How do you verify that a PWHT temperature chart recorder is producing reliable d...
68,✅ Success,,A newly arrived welder presents a WPQ test certification card from a previous em...
69,✅ Success,,Describe step-by-step how you proceed from being assigned to inspect a girth wel...
70,✅ Success,,The NDT technician tells you the radiograph shows 'no recordable indications.' I...
71,✅ Success,,A welder completes a weld and immediately begins grinding the cap without your p...
72,✅ Success,,What is hydrogen cracking and why is it particularly relevant for P91 pipe welds...
73,✅ Success,,You review a film that a Level II technician has accepted. You identify what app...
74,✅ Success,,Explain why socket welds are not typically used in severe cyclic service or when...
75,✅ Success,,The contractor QC Manager says an NCR you issued for a failed PWHT is 'invalid' ...
76,✅ Success,,What is delta ferrite and why does SAES-W-011 require a minimum ferrite level in...
77,✅ Success,,During a site audit you find E7018 electrodes in open cardboard boxes exposed to...
78,✅ Success,,You observe arc strikes adjacent to a completed weld on the base metal. What is ...
79,✅ Success,,You are called because a pneumatic pressure test on a P91 pipe spool discovered ...
80,✅ Success,,What is the significance of the 'F-number' of a filler metal in ASME IX and how ...
81,✅ Success,,A senior welding foreman tells you 'We've been doing this for 30 years and never...
82,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You receive a P91 PWHT chart showing: ramp rate 120°C/hr (spec max 100°C/hr); so...
83,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review this WPS for a P22 (P-No.5A) GTAW sour service application and identify a...
84,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An RT film of a 12 mm wall CS butt weld (ASME B31.3 Normal Fluid Service) shows:...
85,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Verify the following A335 P91 MTC against ASTM A335 Grade P91 requirements: C=0....
86,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A WPQT bend test record shows: Face Bend 1 — no cracks; Face Bend 2 — 2.8 mm cra...
87,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review this P91 pipe weld ITP and identify any missing or incorrectly designated...
88,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review this WIR for Weld W-201 and flag all discrepancies: WPS No.: WPS-P91-01; ...
89,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A production welding log shows welder WLD-012 deposited 42 welds in January usin...
90,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Examine this PQR and determine if it can support the proposed WPS: PQR — P-No.1 ...
91,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You inspect the electrode storage area and observe: (a) E7018-H4R in holding ove...
92,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Evaluate these 316L SS GTAW root oxidation colours and state acceptability for a...
93,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the welder qualification matrix and identify the one production weld NOT ...
94,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Identify all nonconformances in this carbon steel girth weld fit-up inspection (...
95,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A PAUT report for a 20 mm wall CRA-clad pipe weld shows an indication at 3–5 mm ...
96,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review this PWHT soak record. WPS requirement: 690°C–720°C for 1 hour minimum. C...
97,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"Weld W-303 (P91, 2-inch SCH 160) was released for hydrotest. The weld file conta..."
98,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review this MPI report for structural fillet welds: AC electromagnetic yoke; lif...
99,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Identify what is missing from this P91 pressure pipe weld traveler: WPS: WPS-P91...
100,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A WPS proposes GMAW short-circuit transfer (GMAW-S) for an ASME B31.3 pressure p...
101,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Design the scope of a weld repair on a P91 girth weld with a 12 mm deep PAUT ind...
102,✅ Success,,"During piping pressure testing per ASME B31.3, the inspector finds that a pressu..."
103,✅ Success,,"During flange bolt torquing per SAES-L-350 and ASME PCC-1, the inspector notices..."
104,✅ Success,,A piping isometric drawing specifies pipe branch connection type as a reinforced...
105,✅ Success,,A flange face inspection reveals a spiral-wound gasket seated in a raised-face f...
106,✅ Success,,A 6-inch Class 600 carbon steel gate valve arrives at site with an ASME B16.34 t...
107,✅ Success,,During incoming inspection of A234 WPB carbon steel pipe fittings (elbows and te...
108,✅ Success,,A piping hydrotest requires the system to be filled with water at ambient temper...
109,✅ Success,,"During routing inspection of a piping spool, the inspector finds that a section ..."
110,✅ Success,,A piping spool fabricated from ASTM A312 TP316L SS requires 100% PMI verificatio...
111,✅ Success,,A piping inspection reveals that a check valve was installed in the reverse flow...
112,✅ Success,,An API 570 inspection of an operating piping system shows a corrosion rate of 0....
113,✅ Success,,"During inspection of a newly completed 10-inch carbon steel piping system, the Q..."
114,✅ Success,,During field routing inspection of a 4-inch Class 300 stainless steel piping sys...
115,✅ Success,,"During hydrostatic testing of a carbon steel process piping system, the test tem..."
116,✅ Success,,A B31.3 pneumatic leak test is proposed as an alternative to the hydrostatic tes...
117,✅ Success,,An ASME B31.3 piping engineer specifies that a 3-inch sockolet on an 8-inch main...
118,✅ Success,,"During inspection of a SAES-L-350 piping system in hydrocarbon service, a 2-inch..."
119,✅ Success,,During final walk-down of a completed 316L SS cryogenic piping system (−165°C LN...
120,✅ Success,,A piping system walkdown reveals that the drawing shows a 2-inch drain point wit...
121,✅ Success,,"During inspection of an ASME B31.3 piping fabrication shop, the inspector notice..."
122,✅ Success,,"During a piping system walkdown, a 1-inch instrument root valve is found to be d..."
123,✅ Success,,A piping system in hydrogen service (>20 mol% H₂) requires all girth welds to be...
124,✅ Success,,A 6-inch Class 300 raised-face flange connection is found to have a flat-face ga...
125,✅ Success,,During thickness measurement survey of a carbon steel piping system in acid serv...
126,✅ Success,,A piping hydrostatic test requires isolation of a safety relief valve (SRV) rate...
127,✅ Success,,A piping system reinstatement inspection after maintenance finds the wrong gaske...
128,✅ Success,,"During piping system walkdown, a 4-inch CS pipe is found resting on a steel beam..."
129,✅ Success,,"During piping fabrication, the shop inspector finds that a 10-inch carbon steel ..."
130,✅ Success,,A process piping isometric shows an eccentric reducer between a 6-inch pipe and ...
131,✅ Success,,"During pre-test inspection of a piping system, the inspector finds that three is..."
132,✅ Success,,"During a line walk of a completed 3-inch CS steam condensate return line, the in..."
133,✅ Success,,A SAES-L-350 Class 300 piping system in wet sour gas service requires all flange...
134,✅ Success,,A piping QC inspector signs off a completed spool as 'accepted' and it is sent t...
135,✅ Success,,"During pipe spool dimensional inspection, the inspector measures a spool fabrica..."
136,✅ Success,,"During the pre-startup check of a newly installed piping system, the inspector f..."
137,✅ Success,,An API 570 in-service inspection identifies a 25 mm diameter circular corrosion ...
138,✅ Success,,"During pressure testing, the hydrostatic test is completed successfully and the ..."
139,✅ Success,,SAES-L-350 requires all piping connections to compressors and pumps to be subjec...
140,✅ Success,,"During a piping system final inspection, the inspector verifies that all small b..."
141,✅ Success,,A Positive Material Identification (PMI) programme requires 10% random sampling ...
142,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,During final inspection of a 16-inch Class 600 carbon steel piping spool in H₂S ...
143,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A 3-km buried cross-country pipeline is being commissioned. The hydrostatic test...
144,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A newly constructed piping system is ready for pre-commissioning flushing. The P...
145,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are a QC Lead for an ARAMCO piping project. A client audit reveals that 200 ...
146,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"Compare the ASME B31.3 requirements for Normal Fluid Service, Category M Fluid S..."
147,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A process piping QC audit reveals that 40% of flange connections in a completed ...
148,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"During an API 570 inspection, you discover that a process piping system in HF (h..."
149,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A piping QC Inspector discovers that the pipe stress isometrics for a gas compre...
150,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe a comprehensive incoming inspection and material receiving procedure fo...
151,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,During final punch-listing of a process piping system before mechanical completi...
152,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You receive a complaint from operations that a newly commissioned piping system ...
153,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A piping system in cryogenic LNG service (−165°C) is being constructed using 9% ...
154,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe the complete inspection and test plan (ITP) hold and witness points tha...
155,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A piping system has been commissioned and the first in-service inspection per AP...
156,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"During construction of an ARAMCO gas plant, a traceability audit reveals that 50..."
157,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Compare the pressure testing requirements for piping systems per ASME B31.3 (hyd...
158,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"During final inspection before mechanical completion, you notice that eight 4-in..."
159,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are auditing a piping fabrication contractor and discover that the certified...
160,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A client requests a vendor surveillance visit to a pipe fitting manufacturer to ...
161,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A piping system walk-down 6 months after commissioning reveals that 12 spring ha...
162,✅ Success,,A piping supervisor says 'We've done this flange torquing method on 50 projects ...
163,✅ Success,,Explain the difference between a hydrostatic test and a pneumatic leak test — wh...
164,✅ Success,,You are at a field inspection and notice a pipe spool in hydrocarbon service has...
165,✅ Success,,"Without referring to a document, explain what NACE MR0175 / ISO 15156 is and its..."
166,✅ Success,,"During a pre-test inspection, you notice the system has a DN50 sample connection..."
167,✅ Success,,Describe the minimum steps you take to sign off a flange connection as 'accepted...
168,✅ Success,,The contractor wants to use a ball valve as an isolation device for the hydrosta...
169,✅ Success,,"Explain what an eccentric reducer is, why 'flat on top' orientation matters, and..."
170,✅ Success,,During a routine walk-down you notice a piping crew using an adjustable spanner ...
171,✅ Success,,Explain what CUI (Corrosion Under Insulation) is and describe three design/const...
172,✅ Success,,You are reviewing an isometric drawing for a critical high-pressure CS piping sy...
173,✅ Success,,Explain why it is important to verify that a valve is installed in the correct f...
174,✅ Success,,A field engineer asks you as the QC inspector to sign off a piping spool that is...
175,✅ Success,,Explain the concept of 'stress corrosion cracking' (SCC) and identify two servic...
176,✅ Success,,You arrive to inspect a line flushing operation and notice the operator is flush...
177,✅ Success,,"What is the purpose of a spectacle blind (figure-8 blind) in piping, and how doe..."
178,✅ Success,,Describe the sequence of events that should happen when a pressure test fails — ...
179,✅ Success,,Explain the difference between a butt weld fitting and a socket weld fitting — w...
180,✅ Success,,"During a hydrostatic test walk-down, you notice a pressure gauge has a cracked l..."
181,✅ Success,,A construction crew is about to install pipe in a trench. You observe the trench...
182,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You receive a hydrostatic test package for a 4-inch Class 600 CS process piping ...
183,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following flange inspection record and identify any discrepancies: Fl...
184,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Calculate the remaining life and next inspection date for the following API 570 ...
185,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You receive an MTC for a shipment of ASME B16.5 Class 600 A105 carbon steel flan...
186,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are performing a dimensional check on a fabricated 6-inch Schedule 80 pipe s...
187,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review a piping test package and identify all discrepancies: Test package for P&...
188,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A UTT survey of a 4-inch Class 300 CS pipe elbow in a corrosive service shows th...
189,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Inspect the following piping material receiving inspection checklist for complet...
190,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following piping ITP entry and identify any hold/witness/review point...
191,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You receive a piping spool for a 4-inch CS steam line. The spool label shows: Ma...
192,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A pipe stress engineer provides you with these nozzle loads for a pump: Actual l...
193,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following pipe schedule for an 8-inch CS process line in sour service...
194,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An as-built isometric of a 3-inch CS instrument air line shows that a globe valv...
195,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"During spring hanger pre-commissioning inspection, you record the following cold..."
196,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following test boundary document for a hydrostatic test and confirm w...
197,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A contractor submits a flange bolt torque calculation for 8-inch Class 600 ANSI ...
198,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"During line flushing of a new 6-inch CS process line, the flushing team reports ..."
199,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A piping inspection report shows a 3-inch SS316L pipe elbow at a dead-leg juncti...
200,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You inspect a completed insulated piping system and notice the aluminium jacketi...
201,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You receive a test package for a pneumatic leak test of a completed instrument a...
202,✅ Success,,"During RT of a 25 mm wall pressure vessel weld (ASME VIII Div.1), the radiograph..."
203,✅ Success,,An RT technician performs a radiograph and the resulting film has a density of 1...
204,✅ Success,,"During PAUT (Phased Array UT) examination of a 20 mm wall pipe weld, the technic..."
205,✅ Success,,A Liquid Penetrant Test (PT) procedure per ASME V Article 6 requires a minimum d...
206,✅ Success,,During MT (Magnetic Particle Inspection) of a weld using the continuous method p...
207,✅ Success,,An ASNT Level II UT technician is examining a 50 mm thick weld using a 45° refra...
208,✅ Success,,"A PT examination using a fluorescent penetrant system (Method A, Type I per ASME..."
209,✅ Success,,A PAUT scan of a dissimilar metal weld (DMW) between carbon steel and Inconel 62...
210,✅ Success,,An RT procedure qualifies Source-to-Film Distance (SFD) of 700 mm for a 12 mm th...
211,✅ Success,,"During TOFD examination of a 40 mm wall pressure vessel seam weld, the D-scan di..."
212,✅ Success,,An ASNT Level II PT technician finds a linear indication 22 mm long on the surfa...
213,✅ Success,,An RT technician is requested to radiograph a 10-inch Schedule 80 (wall 12.7 mm)...
214,✅ Success,,A UT calibration block made from ASTM A516 Gr.70 CS is used to calibrate the sen...
215,✅ Success,,During RT of a 6-inch butt weld using a panoramic (central source) exposure tech...
216,✅ Success,,A magnetic particle examination using a prod (contact) technique reveals a linea...
217,✅ Success,,"During UT examination of a CRA (corrosion resistant alloy) clad pressure vessel,..."
218,✅ Success,,An RT technician performs a double-wall double-image (DWDI) exposure on a 3-inch...
219,✅ Success,,"Per ASNT SNT-TC-1A, a Level II NDT technician has the authority to:"
220,✅ Success,,"During eddy current testing (ECT) of heat exchanger tubes, the technician uses a..."
221,✅ Success,,An ARAMCO project requires 100% RT of all P91 pressure pipe girth welds. RT is c...
222,✅ Success,,A calibration block used for UT angle beam examination was fabricated from carbo...
223,✅ Success,,An MT examination of a machined shaft using a circular magnetisation (central co...
224,✅ Success,,An RT procedure using Ir-192 source lists a source activity of 80 Ci on the proc...
225,✅ Success,,A PT examination of a 316L SS heat exchanger tube sheet weld is performed using ...
226,✅ Success,,"During RT review, a film shows a series of regularly spaced, small circular dark..."
227,✅ Success,,An ARAMCO project requires 100% RT of CJP (complete joint penetration) structura...
228,✅ Success,,A TOFD scan of a 50 mm wall pressure vessel seam weld shows an indication at 42–...
229,✅ Success,,"A PT indication is observed that is 0.5 mm wide and 3 mm long, appearing as a so..."
230,✅ Success,,An RT film of a 20 mm CS weld shows an indication with characteristics of a long...
231,✅ Success,,"When performing a Holiday Test (HT) on a pipe coating per NACE SP0188, the inspe..."
232,✅ Success,,A QC Inspector witnesses a UT examination where the technician calibrates the in...
233,✅ Success,,"During the incoming inspection of a batch of radiographic film (Agfa D7), the QC..."
234,✅ Success,,A Level II UT technician uses a 70° refracted shear wave probe to examine a 16 m...
235,✅ Success,,An ARAMCO SAEP-1142 compliant PT procedure specifies that the final acceptance e...
236,✅ Success,,The ASME V Article 1 mandatory examination requirements include a requirement fo...
237,✅ Success,,During the preparation of an RT exposure record for an ARAMCO Level II RT Techni...
238,✅ Success,,An RT film of a CS plate weld shows a lighter (less dark) circular area approxim...
239,✅ Success,,A PAUT scan used as an RT alternative for a pipeline girth weld shows a calibrat...
240,✅ Success,,"Visual Testing (VT) is the most fundamental NDE method. Per ASME V Article 9, wh..."
241,✅ Success,,A QC Inspection of an NDT subcontractor's Level II UT technician reveals his ASN...
242,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A PAUT examination of a 40 mm wall pressure vessel butt weld produces several in...
243,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are the NDT QC Lead for an ARAMCO pressure vessel fabrication project. The c...
244,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"During an audit of a Level II RT technician's certification records, you find th..."
245,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An RT film interpretation programme audit reveals that interpretation is being c...
246,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe the complete qualification process for a new PAUT procedure to be used ...
247,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A major oil company conducts a blind trial (round-robin) NDT test on simulated w...
248,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe the inspection programme you would implement for the annual integrity a...
249,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A Holiday Test (HT) of a 3LPE-coated offshore pipeline reveals 12 holidays over ...
250,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Develop a comprehensive Inspection and Test Plan (ITP) for RT examination of a 1...
251,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"Describe the calibration requirements, frequency, and records required for the f..."
252,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An NDT subcontractor's radiation safety officer (RSO) finds that a Level II RT t...
253,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Compare the capabilities and limitations of RT vs. PAUT for the following weld d...
254,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are reviewing the NDT records for a completed pressure vessel and find that ...
255,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An API 580 risk-based inspection (RBI) assessment identifies a process line as h...
256,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe the full chain of actions when a holiday test on a shop-coated pressure...
257,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A technician performing AUT (automated UT) on a pipeline girth weld reports an i...
258,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are leading an NDT quality audit of a contractor's PT operation on stainless...
259,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,The NDT QC Inspector discovers that a UT Level II has been performing TOFD exami...
260,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"After a successful hydrostatic test, a pressure vessel is subjected to final sur..."
261,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe a comprehensive training and qualification programme for an in-house ND...
262,✅ Success,,A production supervisor is pressuring you to sign off RT films during a shift ch...
263,✅ Success,,Explain in plain language what the IQI (Image Quality Indicator) tells us about ...
264,✅ Success,,A welder argues that his weld has 'perfect' RT films so there cannot be any defe...
